"arm","anchor_frac","n_anchor_mean","sil_all","sil_all_sd","sil_anchor","sil_anchor_sd","sil_nonanc","sil_nonanc_sd","nmi","nmi_sd","n_scored_mean","n_reps"
"A",0.05,16,-0.0320011308968563,0.00626045610751683,0.551015263994981,0.0321529585161977,-0.0327844380568911,0.00656643253869941,0.0247314152821862,0.0103334015253826,300,50
"A",0.1,32,-0.0250486212879907,0.00517791871474106,0.677395499000365,0.0307988268323447,-0.0324956391618212,0.00569111367608603,0.0421352838556037,0.0142970879302401,300,50
"A",0.15,44,-0.0177904463441602,0.00518578365932847,0.721467581635539,0.0285870420163692,-0.0332718274808435,0.00472782913606543,0.0568709047761396,0.0139693530453919,300,50
"A",0.2,60,0.00073839511367986,0.00680830770814056,0.744298653093849,0.0247539336346444,-0.033817432190853,0.00698831099228803,0.0825916131048611,0.0180965684818243,300,50
"A",0.25,76,0.0212280477816546,0.00884940449536174,0.76778465878436,0.0257092308301994,-0.0351121825900852,0.00587160220898484,0.110506063788985,0.0218823877255379,300,50
"A",0.3,88,0.0415128612681477,0.00992515029635958,0.779544012558347,0.0248937902216137,-0.0356317234261965,0.00686806083690732,0.136798919568387,0.0204029429917866,300,50
"A",0.4,120,0.10218475681033,0.0109485367359382,0.770488115531461,0.0254092998693688,-0.0386701932213085,0.00750570466954635,0.207960282870506,0.0213583808552114,300,50
"A",0.5,152,0.172839482473705,0.0152805778395285,0.784431172583404,0.0250881490269541,-0.0398811337529594,0.00913092202232748,0.289798455945761,0.0230549382893528,300,50
"A",0.75,224,0.398099262965028,0.0235638577888221,0.820755626208419,0.0433863643894833,-0.0613948124219935,0.0137771026756793,0.453547503446752,0.0326663906307611,300,50
"C",0.05,16,0.614665887191544,0.02017268674681,0.58320800432013,0.0373954042157323,0.618551774102608,0.0214280714194137,1,0,300,50
"C",0.1,32,0.579931228505759,0.0156570417797365,0.69368381150528,0.0232617600827666,0.574188958192136,0.0177582239122588,0.999744280201285,0.00180821203755214,300,50
"C",0.15,44,0.565896215594035,0.0177855464861131,0.729476238323394,0.0258782262443102,0.551115975205766,0.019299931144656,0.99948856040257,0.00253096962214917,300,50
"C",0.2,60,0.553127530186903,0.0219144359317516,0.743298733030613,0.0304610708536692,0.525183419490874,0.0263267243243558,0.999232840603854,0.00306733261425628,300,50
"C",0.25,76,0.549216393005594,0.0249801871470446,0.766506919151824,0.0180834314202927,0.504267452851026,0.0299036477127799,0.997442802012848,0.00516632010729183,300,50
"C",0.3,88,0.545049274881219,0.0256397467421014,0.776901349963733,0.0179844596823896,0.485578784360227,0.0321750862623735,0.996931683028954,0.00608979319020449,300,50
"C",0.4,120,0.489333724810462,0.039322854357966,0.811488147192297,0.0157958864948393,0.363321234771936,0.0498931777745512,0.787936440584664,0.226124007473508,300,50
"C",0.5,152,0.502318066577993,0.0440201757429631,0.846268489239512,0.0190687964929563,0.305474637061556,0.0579274900601933,0.630284467569118,0.232961199093301,300,50
"C",0.75,224,0.782634594415316,0.0192430540424176,0.891157117339077,0.0187338634873592,0.568921010252506,0.035680853368568,0.994952258919659,0.00664441882696626,300,50
